Date,Open,High,Low,Close
10/25/21, 2083.34, 2093.69, 2074.74, 2090.64
10/22/21, 2082.31, 2085.80, 2069.08, 2078.70
10/21/21, 2078.81, 2086.93, 2076.72, 2085.92
10/20/21, 2079.69, 2084.94, 2075.09, 2081.06
10/19/21, 2066.35, 2077.72, 2066.35, 2077.26
10/18/21, 2050.29, 2063.40, 2042.04, 2062.23
10/15/21, 2037.72, 2054.19, 2037.72, 2053.52
10/14/21, 2012.87, 2035.62, 2012.87, 2034.65
10/13/21, 2000.04, 2005.34, 1987.19, 2001.89
10/12/21, 2007.88, 2009.89, 1992.40, 1995.94
10/11/21, 2015.07, 2029.96, 2003.97, 2004.28
10/08/21, 2025.00, 2027.41, 2016.34, 2019.05
10/07/21, 2014.76, 2035.14, 2014.76, 2021.69
10/06/21, 1983.22, 2007.25, 1971.28, 2006.15
10/05/21, 1976.67, 2006.90, 1976.67, 1995.30
10/04/21, 1998.63, 2000.63, 1962.14, 1972.81
10/01/21, 1981.84, 2008.95, 1969.96, 2001.87
09/30/21, 2003.65, 2010.55, 1976.76, 1977.50
09/29/21, 1999.27, 2011.77, 1995.81, 1998.77
09/28/21, 2025.89, 2025.89, 1991.38, 1994.60
09/27/21, 2036.39, 2042.61, 2032.87, 2038.13
09/24/21, 2035.76, 2048.43, 2032.07, 2045.17
09/23/21, 2022.62, 2047.49, 2022.62, 2041.07
09/22/21, 2004.87, 2027.14, 2004.47, 2018.05
09/21/21, 2009.08, 2019.79, 1998.53, 2001.08
09/20/21, 2024.39, 2024.39, 1976.88, 2001.21
09/17/21, 2054.41, 2055.70, 2035.06, 2037.62
09/16/21, 2057.67, 2061.59, 2040.97, 2056.46
09/15/21, 2045.51, 2062.64, 2040.33, 2059.69
09/14/21, 2059.66, 2063.95, 2039.25, 2042.73
09/13/21, 2056.24, 2066.14, 2043.97, 2054.74
09/10/21, 2071.98, 2078.90, 2048.33, 2048.95
09/09/21, 2077.99, 2083.91, 2065.04, 2065.70
09/08/21, 2081.05, 2081.22, 2068.34, 2077.74
09/07/21, 2083.71, 2085.86, 2077.36, 2081.64
09/03/21, 2080.17, 2085.30, 2074.19, 2082.79
09/02/21, 2083.95, 2088.53, 2076.54, 2081.95
09/01/21, 2082.14, 2087.97, 2078.15, 2079.29
08/31/21, 2083.61, 2084.33, 2076.28, 2079.17
08/30/21, 2070.65, 2086.59, 2070.65, 2083.00
08/27/21, 2052.59, 2069.90, 2052.59, 2068.29
08/26/21, 2062.29, 2064.71, 2051.26, 2051.39
08/25/21, 2062.99, 2065.18, 2060.00, 2062.68
08/24/21, 2061.14, 2065.33, 2059.01, 2060.99
08/23/21, 2044.47, 2064.33, 2044.47, 2059.33
08/20/21, 2026.40, 2042.80, 2024.28, 2041.48
08/19/21, 2010.47, 2029.85, 2004.47, 2022.99
08/18/21, 2037.63, 2044.93, 2017.25, 2018.72
08/17/21, 2048.36, 2048.36, 2027.71, 2040.97
08/16/21, 2047.17, 2056.71, 2031.78, 2056.39
08/13/21, 2047.10, 2049.72, 2046.07, 2049.53
08/12/21, 2035.00, 2045.79, 2031.47, 2045.41
08/11/21, 2034.74, 2039.59, 2032.35, 2035.51
08/10/21, 2031.90, 2036.30, 2026.97, 2031.95
08/09/21, 2033.20, 2035.02, 2027.47, 2030.04
08/06/21, 2028.93, 2034.29, 2028.01, 2031.71
08/05/21, 2019.16, 2030.77, 2019.16, 2030.41
08/04/21, 2021.82, 2021.82, 2014.06, 2016.10
08/03/21, 2011.54, 2024.67, 2002.65, 2024.33
08/02/21, 2017.10, 2022.87, 2007.53, 2008.71
07/30/21, 2013.64, 2018.84, 2009.09, 2011.75
07/29/21, 2022.32, 2033.85, 2022.32, 2027.95
07/28/21, 2024.75, 2032.93, 2017.39, 2023.59
07/27/21, 2036.84, 2036.84, 2011.17, 2025.40
07/26/21, 2030.74, 2038.79, 2028.06, 2038.49
07/23/21, 2017.79, 2033.70, 2017.79, 2031.92
07/22/21, 2005.60, 2012.27, 2003.16, 2011.15
07/21/21, 1990.78, 2003.95, 1990.78, 2003.54
07/20/21, 1965.56, 1995.43, 1963.35, 1988.66
07/19/21, 1977.61, 1977.61, 1950.36, 1962.91
07/16/21, 2011.38, 2015.60, 1990.61, 1992.85
07/15/21, 2015.20, 2015.20, 2000.07, 2008.48
07/14/21, 2016.19, 2022.48, 2009.74, 2015.96
07/13/21, 2011.87, 2021.84, 2009.24, 2010.58
07/12/21, 2008.80, 2014.34, 2005.33, 2013.29
07/09/21, 1987.77, 2006.98, 1987.77, 2005.92
07/08/21, 1982.19, 1990.62, 1971.02, 1986.97
07/07/21, 1998.72, 2003.79, 1989.32, 2001.37
07/06/21, 1995.86, 1996.78, 1978.35, 1993.60
07/02/21, 1978.13, 1994.48, 1978.13, 1993.12
07/01/21, 1965.32, 1975.08, 1965.32, 1974.69
06/30/21, 1961.30, 1967.08, 1959.82, 1964.75
06/29/21, 1962.48, 1964.91, 1959.77, 1962.23
06/28/21, 1954.48, 1962.03, 1953.51, 1961.45
06/25/21, 1953.35, 1955.64, 1950.04, 1952.49
06/24/21, 1946.08, 1953.40, 1946.08, 1949.19
06/23/21, 1942.19, 1945.15, 1937.86, 1938.58
06/22/21, 1928.14, 1944.85, 1926.04, 1940.89
06/21/21, 1908.19, 1929.32, 1907.62, 1928.24
06/18/21, 1918.36, 1918.36, 1904.92, 1906.08
06/17/21, 1920.31, 1933.19, 1916.87, 1928.11
06/16/21, 1932.58, 1934.47, 1910.52, 1922.28
06/15/21, 1936.79, 1937.93, 1928.67, 1931.18
06/14/21, 1930.34, 1937.39, 1925.60, 1937.21
06/11/21, 1928.48, 1930.17, 1923.03, 1929.59
06/10/21, 1919.53, 1931.70, 1917.65, 1926.72
06/09/21, 1920.23, 1923.63, 1915.36, 1915.81
06/08/21, 1921.89, 1923.28, 1909.66, 1916.87
06/07/21, 1915.25, 1918.56, 1909.66, 1917.81
06/04/21, 1902.25, 1917.21, 1902.25, 1915.73
06/03/21, 1895.47, 1902.27, 1885.60, 1895.87
06/02/21, 1902.40, 1908.29, 1898.15, 1903.85
06/01/21, 1910.17, 1916.62, 1899.19, 1900.33
05/28/21, 1908.43, 1912.56, 1904.24, 1904.55
05/27/21, 1906.81, 1912.15, 1902.73, 1903.67
05/26/21, 1903.55, 1908.78, 1899.52, 1904.83
05/25/21, 1909.82, 1913.70, 1899.17, 1901.96
05/24/21, 1890.06, 1910.75, 1890.06, 1905.15
05/21/21, 1891.12, 1897.78, 1881.71, 1883.16
05/20/21, 1867.99, 1891.93, 1867.99, 1886.16
05/19/21, 1854.36, 1865.39, 1840.45, 1864.75
05/18/21, 1885.78, 1888.05, 1867.78, 1868.68
05/17/21, 1888.99, 1889.33, 1874.25, 1884.56
05/14/21, 1870.48, 1894.26, 1870.48, 1890.32
05/13/21, 1847.86, 1872.13, 1847.86, 1862.48
05/12/21, 1867.68, 1871.56, 1838.20, 1841.42
05/11/21, 1875.04, 1883.78, 1860.96, 1880.26
